round,benchmark,pass,scheduler_class,blocking_reasons,incident_pairs,safe_edge_count,total_edge_count,safe_edge_ratio
0,CoyoteBench_almabench,adce,decision_required,needs_attribution;order_sensitive,"adce,dce:likely_independent;adce,early-cse:likely_independent;adce,gvn:needs_attribution;adce,indvars:confirmed_independent;adce,instcombine:likely_independent;adce,licm:needs_attribution;adce,loop-rotate:needs_attribution;adce,loop-simplify:confirmed_independent;adce,loop-unroll:confirmed_independent;adce,mem2reg:order_sensitive;adce,reassociate:likely_independent;adce,sccp:needs_attribution;adce,simplifycfg:needs_attribution;adce,sroa:needs_attribution",7,14,0.5
0,CoyoteBench_almabench,dce,decision_required,needs_attribution;order_sensitive,"adce,dce:likely_independent;dce,early-cse:likely_independent;dce,gvn:needs_attribution;dce,indvars:confirmed_independent;dce,instcombine:likely_independent;dce,licm:needs_attribution;dce,loop-rotate:needs_attribution;dce,loop-simplify:confirmed_independent;dce,loop-unroll:confirmed_independent;dce,mem2reg:order_sensitive;dce,reassociate:likely_independent;dce,sccp:needs_attribution;dce,simplifycfg:needs_attribution;dce,sroa:needs_attribution",7,14,0.5
0,CoyoteBench_almabench,early-cse,decision_required,needs_attribution;order_sensitive,"adce,early-cse:likely_independent;dce,early-cse:likely_independent;early-cse,gvn:needs_attribution;early-cse,indvars:confirmed_independent;early-cse,instcombine:order_sensitive;early-cse,licm:order_sensitive;early-cse,loop-rotate:order_sensitive;early-cse,loop-simplify:confirmed_independent;early-cse,loop-unroll:confirmed_independent;early-cse,mem2reg:order_sensitive;early-cse,reassociate:order_sensitive;early-cse,sccp:needs_attribution;early-cse,simplifycfg:needs_attribution;early-cse,sroa:order_sensitive",5,14,0.3571
0,CoyoteBench_almabench,gvn,decision_required,needs_attribution;order_sensitive,"adce,gvn:needs_attribution;dce,gvn:needs_attribution;early-cse,gvn:needs_attribution;gvn,indvars:order_sensitive;gvn,instcombine:order_sensitive;gvn,licm:order_sensitive;gvn,loop-rotate:order_sensitive;gvn,loop-simplify:needs_attribution;gvn,loop-unroll:order_sensitive;gvn,mem2reg:order_sensitive;gvn,reassociate:order_sensitive;gvn,sccp:order_sensitive;gvn,simplifycfg:order_sensitive;gvn,sroa:order_sensitive",0,14,0.0
0,CoyoteBench_almabench,indvars,decision_required,needs_attribution;order_sensitive,"adce,indvars:confirmed_independent;dce,indvars:confirmed_independent;early-cse,indvars:confirmed_independent;gvn,indvars:order_sensitive;indvars,instcombine:needs_attribution;indvars,licm:order_sensitive;indvars,loop-rotate:likely_independent;indvars,loop-simplify:likely_independent;indvars,loop-unroll:likely_independent;indvars,mem2reg:order_sensitive;indvars,reassociate:confirmed_independent;indvars,sccp:confirmed_independent;indvars,simplifycfg:order_sensitive;indvars,sroa:order_sensitive",8,14,0.5714
0,CoyoteBench_almabench,instcombine,decision_required,needs_attribution;order_sensitive,"adce,instcombine:likely_independent;dce,instcombine:likely_independent;early-cse,instcombine:order_sensitive;gvn,instcombine:order_sensitive;indvars,instcombine:needs_attribution;instcombine,licm:order_sensitive;instcombine,loop-rotate:order_sensitive;instcombine,loop-simplify:needs_attribution;instcombine,loop-unroll:needs_attribution;instcombine,mem2reg:order_sensitive;instcombine,reassociate:order_sensitive;instcombine,sccp:likely_independent;instcombine,simplifycfg:order_sensitive;instcombine,sroa:order_sensitive",3,14,0.2143
0,CoyoteBench_almabench,licm,decision_required,needs_attribution;order_sensitive,"adce,licm:needs_attribution;dce,licm:needs_attribution;early-cse,licm:order_sensitive;gvn,licm:order_sensitive;indvars,licm:order_sensitive;instcombine,licm:order_sensitive;licm,loop-rotate:order_sensitive;licm,loop-simplify:likely_independent;licm,loop-unroll:order_sensitive;licm,mem2reg:order_sensitive;licm,reassociate:order_sensitive;licm,sccp:needs_attribution;licm,simplifycfg:order_sensitive;licm,sroa:order_sensitive",1,14,0.0714
0,CoyoteBench_almabench,loop-rotate,decision_required,needs_attribution;order_sensitive,"adce,loop-rotate:needs_attribution;dce,loop-rotate:needs_attribution;early-cse,loop-rotate:order_sensitive;gvn,loop-rotate:order_sensitive;indvars,loop-rotate:likely_independent;instcombine,loop-rotate:order_sensitive;licm,loop-rotate:order_sensitive;loop-rotate,loop-simplify:likely_independent;loop-rotate,loop-unroll:likely_independent;loop-rotate,mem2reg:order_sensitive;loop-rotate,reassociate:needs_attribution;loop-rotate,sccp:needs_attribution;loop-rotate,simplifycfg:order_sensitive;loop-rotate,sroa:order_sensitive",3,14,0.2143
0,CoyoteBench_almabench,loop-simplify,decision_required,needs_attribution;order_sensitive,"adce,loop-simplify:confirmed_independent;dce,loop-simplify:confirmed_independent;early-cse,loop-simplify:confirmed_independent;gvn,loop-simplify:needs_attribution;indvars,loop-simplify:likely_independent;instcombine,loop-simplify:needs_attribution;licm,loop-simplify:likely_independent;loop-rotate,loop-simplify:likely_independent;loop-simplify,loop-unroll:likely_independent;loop-simplify,mem2reg:needs_attribution;loop-simplify,reassociate:confirmed_independent;loop-simplify,sccp:confirmed_independent;loop-simplify,simplifycfg:order_sensitive;loop-simplify,sroa:needs_attribution",9,14,0.6429
0,CoyoteBench_almabench,loop-unroll,decision_required,needs_attribution;order_sensitive,"adce,loop-unroll:confirmed_independent;dce,loop-unroll:confirmed_independent;early-cse,loop-unroll:confirmed_independent;gvn,loop-unroll:order_sensitive;indvars,loop-unroll:likely_independent;instcombine,loop-unroll:needs_attribution;licm,loop-unroll:order_sensitive;loop-rotate,loop-unroll:likely_independent;loop-simplify,loop-unroll:likely_independent;loop-unroll,mem2reg:order_sensitive;loop-unroll,reassociate:confirmed_independent;loop-unroll,sccp:confirmed_independent;loop-unroll,simplifycfg:order_sensitive;loop-unroll,sroa:order_sensitive",8,14,0.5714
