pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,true,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\simplifycfg__then__instcombine.ll,
instcombine,early-cse,true,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\instcombine__then__early-cse.ll,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\early-cse__then__instcombine.ll,
instcombine,gvn,true,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\instcombine__then__gvn.ll,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\gvn__then__instcombine.ll,
instcombine,sccp,true,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\instcombine__then__sccp.ll,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\sccp__then__instcombine.ll,
instcombine,loop-simplify,true,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\instcombine__then__loop-simplify.ll,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\loop-simplify__then__instcombine.ll,
instcombine,loop-rotate,false,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\instcombine__then__loop-rotate.ll,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\loop-rotate__then__instcombine.ll,"in function Fit:
  in block %2 / %2:
    >   %.not1 = icmp slt i32 %.pre, 0
    >   br i1 %.not1, label %18, label %.lr.ph
    <   %.not1 = icmp sgt i32 0, %.pre
    <   br i1 %.not1, label %18, label %.lr.ph

in function Place:
  in block %2 / %2:
    >   %.not4 = icmp slt i32 %.pre, 0
    >   br i1 %.not4, label %15, label %.lr.ph
    <   %.not4 = icmp sgt i32 0, %.pre
    <   br i1 %.not4, label %15, label %.lr.ph

in function Remove:
  in block %2 / %2:
    >   %.not1 = icmp slt i32 %.pre, 0
    >   br i1 %.not1, label %15, label %.lr.ph
    <   %.not1 = icmp sgt i32 0, %.pre
    <   br i1 %.not1, label %15, label %.lr.ph

in function Trial:
  in block %4 / %4:
    >   %5 = phi i32 [ 0, %1 ], [ %23, %22 ]
    <   %5 = phi i32 [ 0, %1 ], [ %23, %22 ]
  in block %22 / %22:
    >   %24 = icmp samesign ult i32 %5, 12
    >   br i1 %24, label %4, label %25, !llvm.loop !7
    <   %24 = icmp samesign ult i32 %23, 13
    <   br i1 %24, label %4, label %25, !llvm.loop !7

in function Puzzle:
  in block %1 / %1:
    >   %2 = phi i32 [ 0, %0 ], [ %5, %1 ]
    >   %3 = zext nneg i32 %2 to i64
    >   %4 = getelementptr inbounds nuw [4 x i8], ptr @puzzl, i64 %3
    >   store i32 1, ptr %4, align 4
    >   %5 = add nuw nsw i32 %2, 1
    >   %6 = icmp samesign ult i32 %2, 511
    >   br i1 %6, label %1, label %7, !llvm.loop !7
    <   %2 = phi i32 [ 0, %0 ], [ %5, %1 ]
    <   %3 = zext nneg i32 %2 to i64
    <   %4 = getelementptr inbounds nuw [4 x i8], ptr @puzzl, i64 %3
    <   store i32 1, ptr %4, align 4
    <   %5 = add nuw nsw i32 %2, 1
    <   %6 = icmp samesign ult i32 %5, 512
    <   br i1 %6, label %1, label %7, !llvm.loop !7

in function main:
  in block %1 / %1:
    >   %2 = phi i32 [ 0, %0 ], [ %3, %1 ]
    <   %2 = phi i32 [ 0, %0 ], [ %3, %1 ]
        call void @Puzzle()
    >   %3 = add nuw nsw i32 %2, 1
    >   %4 = icmp samesign ult i32 %2, 99
    >   br i1 %4, label %1, label %5, !llvm.loop !7
    <   %3 = add nuw nsw i32 %2, 1
    <   %4 = icmp samesign ult i32 %3, 100
    <   br i1 %4, label %1, label %5, !llvm.loop !7"
instcombine,licm,false,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\instcombine__then__licm.ll,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\licm__then__instcombine.ll,"in function Place:
  in block %30 / %30:
    <   %.lcssa1 = phi i32 [ %24, %26 ]
  in block %34 / %34:
    >   %35 = phi i32 [ 0, %33 ], [ %24, %30 ]
    <   %35 = phi i32 [ 0, %33 ], [ %.lcssa1, %30 ]

in function Puzzle:
  in block %16 / %16:
    <   %invariant.op = or disjoint i32 %17, %10
  in block %287 / %288:
    <   %invariant.op1 = or disjoint i32 %288, %281"
instcombine,indvars,false,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\instcombine__then__indvars.ll,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\indvars__then__instcombine.ll,"in function Fit:
  in block %10 / %10:
    >   %11 = getelementptr [4 x i8], ptr @puzzl, i64 %indvars.iv
    >   %12 = getelementptr [4 x i8], ptr %11, i64 %3
    >   %13 = load i32, ptr %12, align 4
    >   %.not3 = icmp eq i32 %13, 0
    >   br i1 %.not3, label %15, label %14
    <   %11 = add nsw i64 %3, %indvars.iv
    <   %12 = getelementptr inbounds [4 x i8], ptr @puzzl, i64 %11
    <   %13 = load i32, ptr %12, align 4
    <   %.not3 = icmp eq i32 %13, 0
    <   br i1 %.not3, label %15, label %14

in function Place:
  in block %14 / %14:
    >   %wide.trip.count7 = zext nneg i32 %smax6 to i64
    <   %wide.trip.count7 = sext i32 %smax6 to i64
  in block %10 / %10:
    >   %11 = getelementptr [4 x i8], ptr @puzzl, i64 %indvars.iv
    >   %12 = getelementptr [4 x i8], ptr %11, i64 %3
    >   store i32 1, ptr %12, align 4
    <   %11 = add nsw i64 %3, %indvars.iv
    <   %12 = getelementptr inbounds [4 x i8], ptr @puzzl, i64 %11
    <   store i32 1, ptr %12, align 4

in function Remove:
  in block %10 / %10:
    >   %11 = getelementptr [4 x i8], ptr @puzzl, i64 %indvars.iv
    >   %12 = getelementptr [4 x i8], ptr %11, i64 %3
    >   store i32 0, ptr %12, align 4
    <   %11 = add nsw i64 %3, %indvars.iv
    <   %12 = getelementptr inbounds [4 x i8], ptr @puzzl, i64 %11
    <   store i32 0, ptr %12, align 4

in function Trial:
  in block %4 / %4:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %24 ], [ 0, %1 ]
    >   %exitcond.not = icmp eq i64 %indvars.iv, 13
    >   br i1 %exitcond.not, label %25, label %5
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %24 ], [ 0, %1 ]
    <   %exitcond = icmp ne i64 %indvars.iv, 13
    <   br i1 %exitcond, label %5, label %25

in function Puzzle:
  in block %1 / %1:
    >   %indvars.iv = phi i64 [ %indvars.iv.next, %2 ], [ 0, %0 ]
    >   %exitcond.not = icmp eq i64 %indvars.iv, 512
    >   br i1 %exitcond.not, label %4, label %2
    <   %indvars.iv = phi i64 [ %indvars.iv.next, %2 ], [ 0, %0 ]
    <   %exitcond = icmp ne i64 %indvars.iv, 512
    <   br i1 %exitcond, label %2, label %4

in function main:
  in block %1 / %1:
    >   %2 = phi i32 [ %4, %3 ], [ 0, %0 ]
    >   %exitcond.not = icmp eq i32 %2, 100
    >   br i1 %exitcond.not, label %5, label %3
    <   %2 = phi i32 [ %4, %3 ], [ 0, %0 ]
    <   %exitcond = icmp ne i32 %2, 100
    <   br i1 %exitcond, label %3, label %5"
instcombine,loop-unroll,false,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\instcombine__then__loop-unroll.ll,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\loop-unroll__then__instcombine.ll,"in function Place:
  in block %30 / %30:
    <   %.lcssa1 = phi i32 [ %24, %26 ]
  in block %34 / %34:
    >   %35 = phi i32 [ 0, %33 ], [ %24, %30 ]
    <   %35 = phi i32 [ 0, %33 ], [ %.lcssa1, %30 ]

in function Puzzle:
  in block %1 / %1:
    >   %2 = phi i32 [ 0, %0 ], [ %15, %11 ]
    <   %2 = phi i32 [ 0, %0 ], [ %15, %12 ]
  in block %3 / %3:
    <   %6 = add nuw nsw i32 %2, 1
  in block %12 / %11:
    >   %12 = zext nneg i32 %2 to i64
    >   %13 = getelementptr inbounds nuw [4 x i8], ptr @puzzl, i64 %12
    >   %14 = getelementptr inbounds nuw i8, ptr %13, i64 8
    >   store i32 1, ptr %14, align 4
    <   %13 = zext nneg i32 %10 to i64
    <   %14 = getelementptr inbounds nuw [4 x i8], ptr @puzzl, i64 %13
    <   store i32 1, ptr %14, align 4"
instcombine,reassociate,false,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\instcombine__then__reassociate.ll,results\paper_full\Stanford_Puzzle\round_001\analysis\Stanford_Puzzle\commutativity\reassociate__then__instcombine.ll,"in function Puzzle:
  in block %76 / %76:
    >   %77 = phi i32 [ %84, %79 ], [ 0, %75 ]
    <   %77 = phi i32 [ %84, %79 ], [ 0, %75 ]
  in block %79 / %79:
    >   %81 = or disjoint i32 %80, %70
    >   %82 = zext nneg i32 %81 to i64
    >   %83 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 2048), i64 %82
    >   store i32 1, ptr %83, align 4
    <   %81 = add nuw nsw i32 %80, %70
    <   %82 = zext nneg i32 %81 to i64
    <   %83 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 2048), i64 %82
    <   store i32 1, ptr %83, align 4
  in block %17 / %17:
    >   %18 = phi i32 [ %27, %20 ], [ 1, %16 ]
    <   %18 = phi i32 [ %27, %20 ], [ 1, %16 ]
  in block %20 / %20:
    >   %23 = or disjoint i32 %21, %22
    >   %24 = or disjoint i32 %23, %10
    >   %25 = zext nneg i32 %24 to i64
    >   %26 = getelementptr inbounds nuw [4 x i8], ptr @puzzl, i64 %25
    >   store i32 0, ptr %26, align 4
    <   %23 = add nuw nsw i32 %21, %22
    <   %24 = add nuw nsw i32 %23, %10
    <   %25 = zext nneg i32 %24 to i64
    <   %26 = getelementptr inbounds nuw [4 x i8], ptr @puzzl, i64 %25
    <   store i32 0, ptr %26, align 4
  in block %59 / %59:
    >   %61 = or disjoint i32 %60, %50
    >   %62 = zext nneg i32 %61 to i64
    >   %63 = getelementptr inbounds nuw [4 x i8], ptr @p, i64 %62
    >   store i32 1, ptr %63, align 4
    <   %61 = add nuw nsw i32 %60, %50
    <   %62 = zext nneg i32 %61 to i64
    <   %63 = getelementptr inbounds nuw [4 x i8], ptr @p, i64 %62
    <   store i32 1, ptr %63, align 4
  in block %120 / %120:
    >   %122 = or disjoint i32 %121, %111
    >   %123 = zext nneg i32 %122 to i64
    >   %124 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 6144), i64 %123
    >   store i32 1, ptr %124, align 4
    <   %122 = add nuw nsw i32 %121, %111
    <   %123 = zext nneg i32 %122 to i64
    <   %124 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 6144), i64 %123
    <   store i32 1, ptr %124, align 4
  in block %157 / %157:
    >   %158 = phi i32 [ %166, %160 ], [ 0, %156 ]
    <   %158 = phi i32 [ %166, %160 ], [ 0, %156 ]
  in block %160 / %160:
    >   %163 = or disjoint i32 %161, %162
    >   %164 = zext nneg i32 %163 to i64
    >   %165 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 10240), i64 %164
    >   store i32 1, ptr %165, align 4
    <   %163 = add nuw nsw i32 %161, %162
    <   %164 = zext nneg i32 %163 to i64
    <   %165 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 10240), i64 %164
    <   store i32 1, ptr %165, align 4
  in block %231 / %231:
    >   %233 = or disjoint i32 %232, %222
    >   %234 = zext nneg i32 %233 to i64
    >   %235 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 18432), i64 %234
    >   store i32 1, ptr %235, align 4
    <   %233 = add nuw nsw i32 %232, %222
    <   %234 = zext nneg i32 %233 to i64
    <   %235 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 18432), i64 %234
    <   store i32 1, ptr %235, align 4
  in block %248 / %248:
    >   %249 = phi i32 [ %256, %251 ], [ 0, %247 ]
    <   %249 = phi i32 [ %256, %251 ], [ 0, %247 ]
  in block %251 / %251:
    >   %253 = or disjoint i32 %252, %242
    >   %254 = zext nneg i32 %253 to i64
    >   %255 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 20480), i64 %254
    >   store i32 1, ptr %255, align 4
    <   %253 = add nuw nsw i32 %252, %242
    <   %254 = zext nneg i32 %253 to i64
    <   %255 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 20480), i64 %254
    <   store i32 1, ptr %255, align 4
  in block %268 / %268:
    >   %269 = phi i32 [ %277, %271 ], [ 0, %267 ]
    <   %269 = phi i32 [ %277, %271 ], [ 0, %267 ]
  in block %271 / %271:
    >   %274 = or disjoint i32 %272, %273
    >   %275 = zext nneg i32 %274 to i64
    >   %276 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 22528), i64 %275
    >   store i32 1, ptr %276, align 4
    <   %274 = add nuw nsw i32 %272, %273
    <   %275 = zext nneg i32 %274 to i64
    <   %276 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 22528), i64 %275
    <   store i32 1, ptr %276, align 4
  in block %290 / %290:
    >   %291 = phi i32 [ %300, %293 ], [ 0, %289 ]
    <   %291 = phi i32 [ %300, %293 ], [ 0, %289 ]
  in block %293 / %293:
    >   %296 = or disjoint i32 %294, %295
    >   %297 = or disjoint i32 %296, %283
    >   %298 = zext nneg i32 %297 to i64
    >   %299 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 24576), i64 %298
    >   store i32 1, ptr %299, align 4
    <   %296 = add nuw nsw i32 %294, %295
    <   %297 = add nuw nsw i32 %296, %283
    <   %298 = zext nneg i32 %297 to i64
    <   %299 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 24576), i64 %298
    <   store i32 1, ptr %299, align 4
  in block %137 / %137:
    >   %138 = phi i32 [ %145, %140 ], [ 0, %136 ]
    <   %138 = phi i32 [ %145, %140 ], [ 0, %136 ]
  in block %140 / %140:
    >   %142 = or disjoint i32 %141, %131
    >   %143 = zext nneg i32 %142 to i64
    >   %144 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 8192), i64 %143
    >   store i32 1, ptr %144, align 4
    <   %142 = add nuw nsw i32 %141, %131
    <   %143 = zext nneg i32 %142 to i64
    <   %144 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 8192), i64 %143
    <   store i32 1, ptr %144, align 4
  in block %96 / %96:
    >   %97 = phi i32 [ %105, %99 ], [ 0, %95 ]
    <   %97 = phi i32 [ %105, %99 ], [ 0, %95 ]
  in block %99 / %99:
    >   %102 = or disjoint i32 %100, %101
    >   %103 = zext nneg i32 %102 to i64
    >   %104 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 4096), i64 %103
    >   store i32 1, ptr %104, align 4
    <   %102 = add nuw nsw i32 %100, %101
    <   %103 = zext nneg i32 %102 to i64
    <   %104 = getelementptr inbounds nuw [4 x i8], ptr getelementptr inbounds nuw (i8, ptr @p, i64 4096), i64 %103
    <   store i32 1, ptr %104, align 4"
