round,benchmark,pass,scheduler_class,blocking_reasons,incident_pairs,safe_edge_count,total_edge_count,safe_edge_ratio
0,Stanford_Perm,early-cse,decision_required,needs_attribution;order_sensitive,"early-cse,gvn:likely_independent;early-cse,indvars:confirmed_independent;early-cse,instcombine:order_sensitive;early-cse,licm:order_sensitive;early-cse,loop-rotate:order_sensitive;early-cse,loop-simplify:confirmed_independent;early-cse,loop-unroll:confirmed_independent;early-cse,mem2reg:order_sensitive;early-cse,sccp:order_sensitive;early-cse,simplifycfg:needs_attribution;early-cse,sroa:order_sensitive",4,11,0.3636
0,Stanford_Perm,gvn,decision_required,needs_attribution;order_sensitive,"early-cse,gvn:likely_independent;gvn,indvars:order_sensitive;gvn,instcombine:order_sensitive;gvn,licm:order_sensitive;gvn,loop-rotate:order_sensitive;gvn,loop-simplify:confirmed_independent;gvn,loop-unroll:order_sensitive;gvn,mem2reg:order_sensitive;gvn,sccp:order_sensitive;gvn,simplifycfg:needs_attribution;gvn,sroa:order_sensitive",2,11,0.1818
0,Stanford_Perm,indvars,decision_required,order_sensitive,"early-cse,indvars:confirmed_independent;gvn,indvars:order_sensitive;indvars,instcombine:confirmed_independent;indvars,licm:order_sensitive;indvars,loop-rotate:confirmed_independent;indvars,loop-simplify:confirmed_independent;indvars,loop-unroll:confirmed_independent;indvars,mem2reg:order_sensitive;indvars,sccp:confirmed_independent;indvars,simplifycfg:order_sensitive;indvars,sroa:order_sensitive",6,11,0.5455
0,Stanford_Perm,instcombine,decision_required,order_sensitive,"early-cse,instcombine:order_sensitive;gvn,instcombine:order_sensitive;indvars,instcombine:confirmed_independent;instcombine,licm:order_sensitive;instcombine,loop-rotate:order_sensitive;instcombine,loop-simplify:confirmed_independent;instcombine,loop-unroll:confirmed_independent;instcombine,mem2reg:order_sensitive;instcombine,sccp:confirmed_independent;instcombine,simplifycfg:order_sensitive;instcombine,sroa:order_sensitive",4,11,0.3636
0,Stanford_Perm,licm,decision_required,needs_attribution;order_sensitive,"early-cse,licm:order_sensitive;gvn,licm:order_sensitive;indvars,licm:order_sensitive;instcombine,licm:order_sensitive;licm,loop-rotate:order_sensitive;licm,loop-simplify:confirmed_independent;licm,loop-unroll:confirmed_independent;licm,mem2reg:order_sensitive;licm,sccp:order_sensitive;licm,simplifycfg:needs_attribution;licm,sroa:order_sensitive",2,11,0.1818
0,Stanford_Perm,loop-rotate,decision_required,order_sensitive,"early-cse,loop-rotate:order_sensitive;gvn,loop-rotate:order_sensitive;indvars,loop-rotate:confirmed_independent;instcombine,loop-rotate:order_sensitive;licm,loop-rotate:order_sensitive;loop-rotate,loop-simplify:confirmed_independent;loop-rotate,loop-unroll:confirmed_independent;loop-rotate,mem2reg:order_sensitive;loop-rotate,sccp:confirmed_independent;loop-rotate,simplifycfg:order_sensitive;loop-rotate,sroa:order_sensitive",4,11,0.3636
0,Stanford_Perm,loop-simplify,decision_required,order_sensitive,"early-cse,loop-simplify:confirmed_independent;gvn,loop-simplify:confirmed_independent;indvars,loop-simplify:confirmed_independent;instcombine,loop-simplify:confirmed_independent;licm,loop-simplify:confirmed_independent;loop-rotate,loop-simplify:confirmed_independent;loop-simplify,loop-unroll:confirmed_independent;loop-simplify,mem2reg:confirmed_independent;loop-simplify,sccp:confirmed_independent;loop-simplify,simplifycfg:order_sensitive;loop-simplify,sroa:confirmed_independent",10,11,0.9091
0,Stanford_Perm,loop-unroll,decision_required,order_sensitive,"early-cse,loop-unroll:confirmed_independent;gvn,loop-unroll:order_sensitive;indvars,loop-unroll:confirmed_independent;instcombine,loop-unroll:confirmed_independent;licm,loop-unroll:confirmed_independent;loop-rotate,loop-unroll:confirmed_independent;loop-simplify,loop-unroll:confirmed_independent;loop-unroll,mem2reg:order_sensitive;loop-unroll,sccp:confirmed_independent;loop-unroll,simplifycfg:order_sensitive;loop-unroll,sroa:order_sensitive",7,11,0.6364
0,Stanford_Perm,mem2reg,decision_required,needs_attribution;order_sensitive,"early-cse,mem2reg:order_sensitive;gvn,mem2reg:order_sensitive;indvars,mem2reg:order_sensitive;instcombine,mem2reg:order_sensitive;licm,mem2reg:order_sensitive;loop-rotate,mem2reg:order_sensitive;loop-simplify,mem2reg:confirmed_independent;loop-unroll,mem2reg:order_sensitive;mem2reg,sccp:order_sensitive;mem2reg,simplifycfg:needs_attribution;mem2reg,sroa:likely_independent",2,11,0.1818
0,Stanford_Perm,sccp,decision_required,order_sensitive,"early-cse,sccp:order_sensitive;gvn,sccp:order_sensitive;indvars,sccp:confirmed_independent;instcombine,sccp:confirmed_independent;licm,sccp:order_sensitive;loop-rotate,sccp:confirmed_independent;loop-simplify,sccp:confirmed_independent;loop-unroll,sccp:confirmed_independent;mem2reg,sccp:order_sensitive;sccp,simplifycfg:confirmed_independent;sccp,sroa:order_sensitive",6,11,0.5455
