pass_a,pass_b,commute,ab_path,ba_path,details
mem2reg,instcombine,false,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\mem2reg__then__instcombine.ll,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\instcombine__then__mem2reg.ll,"in function ack:
  in block %15 / %15:
    >   %storemerge = phi i32 [ %14, %12 ], [ %5, %4 ]
    >   ret i32 %storemerge
    <   %.0 = phi i32 [ %5, %4 ], [ %14, %12 ]
    <   ret i32 %.0

in function fib:
  in block %10 / %10:
    >   %storemerge = phi i32 [ %9, %4 ], [ 1, %3 ]
    >   ret i32 %storemerge
    <   %.0 = phi i32 [ 1, %3 ], [ %9, %4 ]
    <   ret i32 %.0

in function fibFP:
  in block %10 / %10:
    >   %storemerge = phi double [ %9, %4 ], [ 1.000000e+00, %3 ]
    >   ret double %storemerge
    <   %.0 = phi double [ 1.000000e+00, %3 ], [ %9, %4 ]
    <   ret double %.0

in function tak:
  in block %14 / %14:
    >   %storemerge = phi i32 [ %2, %13 ], [ %12, %5 ]
    >   ret i32 %storemerge
    <   %.0 = phi i32 [ %12, %5 ], [ %2, %13 ]
    <   ret i32 %.0

in function takFP:
  in block %14 / %14:
    >   %storemerge = phi double [ %2, %13 ], [ %12, %5 ]
    >   ret double %storemerge
    <   %.0 = phi double [ %12, %5 ], [ %2, %13 ]
    <   ret double %.0"
mem2reg,simplifycfg,false,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\mem2reg__then__simplifycfg.ll,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\simplifycfg__then__mem2reg.ll,"in function fib:
  in block %3 / %4:
    in instruction   br label %9 /   br label %10:
      successor %9 cannot be equivalent to %10; it's already equivalent to %3
  in block %9 / %3:
    >   br label %10
    <   %.0 = phi i32 [ %8, %3 ], [ 1, %1 ]
    <   ret i32 %.0

in function fibFP:
  in block %3 / %4:
    in instruction   br label %9 /   br label %10:
      successor %9 cannot be equivalent to %10; it's already equivalent to %3
  in block %9 / %3:
    >   br label %10
    <   %.0 = phi double [ %8, %3 ], [ 1.000000e+00, %1 ]
    <   ret double %.0

in function tak:
  in block %5 / %5:
    in instruction   br label %13 /   br label %14:
      successor %13 cannot be equivalent to %14; it's already equivalent to %13
  in block %13 / %13:
    >   br label %14
    <   %.0 = phi i32 [ %12, %5 ], [ %2, %3 ]
    <   ret i32 %.0

in function takFP:
  in block %5 / %5:
    in instruction   br label %13 /   br label %14:
      successor %13 cannot be equivalent to %14; it's already equivalent to %13
  in block %13 / %13:
    >   br label %14
    <   %.0 = phi double [ %12, %5 ], [ %2, %3 ]
    <   ret double %.0"
mem2reg,sroa,true,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\mem2reg__then__sroa.ll,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\sroa__then__mem2reg.ll,
mem2reg,early-cse,false,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\mem2reg__then__early-cse.ll,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\early-cse__then__mem2reg.ll,"in function main:
  in block %2 / %2:
    >   %5 = sitofp i32 10 to double
    >   %6 = fadd double 2.800000e+01, %5
    >   %7 = call double @fibFP(double noundef %6)
    >   %8 = call i32 (ptr, ...) @printf(ptr noundef @.str.1, double noundef %6, double noundef %7)
    >   %9 = mul nsw i32 3, 10
    >   %10 = mul nsw i32 2, 10
    >   %11 = call i32 @tak(i32 noundef %9, i32 noundef %10, i32 noundef 10)
    >   %12 = call i32 (ptr, ...) @printf(ptr noundef @.str.2, i32 noundef %9, i32 noundef %10, i32 noundef 10, i32 noundef %11)
    <   %5 = call double @fibFP(double noundef 3.800000e+01)
    <   %6 = call i32 (ptr, ...) @printf(ptr noundef @.str.1, double noundef 3.800000e+01, double noundef %5)
    <   %7 = call i32 @tak(i32 noundef 30, i32 noundef 20, i32 noundef 10)
    <   %8 = call i32 (ptr, ...) @printf(ptr noundef @.str.2, i32 noundef 30, i32 noundef 20, i32 noundef 10, i32 noundef %7)"
mem2reg,gvn,false,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\mem2reg__then__gvn.ll,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\gvn__then__mem2reg.ll,"in function ack:
  in block %16 / %16:
    >   %17 = phi i32 [ %15, %13 ], [ %5, %4 ]
    >   ret i32 %17
    <   %.0 = phi i32 [ %5, %4 ], [ %15, %13 ]
    <   ret i32 %.0

in function fib:
  in block %10 / %10:
    >   %11 = phi i32 [ %9, %4 ], [ 1, %3 ]
    >   ret i32 %11
    <   %.0 = phi i32 [ 1, %3 ], [ %9, %4 ]
    <   ret i32 %.0

in function fibFP:
  in block %10 / %10:
    >   %11 = phi double [ %9, %4 ], [ 1.000000e+00, %3 ]
    >   ret double %11
    <   %.0 = phi double [ 1.000000e+00, %3 ], [ %9, %4 ]
    <   ret double %.0

in function tak:
  in block %14 / %14:
    >   %15 = phi i32 [ %2, %13 ], [ %12, %5 ]
    >   ret i32 %15
    <   %.0 = phi i32 [ %12, %5 ], [ %2, %13 ]
    <   ret i32 %.0

in function takFP:
  in block %14 / %14:
    >   %15 = phi double [ %2, %13 ], [ %12, %5 ]
    >   ret double %15
    <   %.0 = phi double [ %12, %5 ], [ %2, %13 ]
    <   ret double %.0"
mem2reg,sccp,false,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\mem2reg__then__sccp.ll,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\sccp__then__mem2reg.ll,"in function main:
  in block %2 / %2:
    >   %3 = add nsw i32 10, 1
    >   %4 = add nsw i32 10, 1
    >   %5 = call i32 @ack(i32 noundef 3, i32 noundef %4)
    >   %6 = call i32 (ptr, ...) @printf(ptr noundef @.str, i32 noundef %3, i32 noundef %5)
    >   %7 = sitofp i32 10 to double
    >   %8 = fadd double 2.800000e+01, %7
    >   %9 = sitofp i32 10 to double
    >   %10 = fadd double 2.800000e+01, %9
    >   %11 = call double @fibFP(double noundef %10)
    >   %12 = call i32 (ptr, ...) @printf(ptr noundef @.str.1, double noundef %8, double noundef %11)
    >   %13 = mul nsw i32 3, 10
    >   %14 = mul nsw i32 2, 10
    >   %15 = mul nsw i32 3, 10
    >   %16 = mul nsw i32 2, 10
    >   %17 = call i32 @tak(i32 noundef %15, i32 noundef %16, i32 noundef 10)
    >   %18 = call i32 (ptr, ...) @printf(ptr noundef @.str.2, i32 noundef %13, i32 noundef %14, i32 noundef 10, i32 noundef %17)
    <   %3 = call i32 @ack(i32 noundef 3, i32 noundef 11)
    <   %4 = call i32 (ptr, ...) @printf(ptr noundef @.str, i32 noundef 11, i32 noundef %3)
    <   %5 = call double @fibFP(double noundef 3.800000e+01)
    <   %6 = call i32 (ptr, ...) @printf(ptr noundef @.str.1, double noundef 3.800000e+01, double noundef %5)
    <   %7 = call i32 @tak(i32 noundef 30, i32 noundef 20, i32 noundef 10)
    <   %8 = call i32 (ptr, ...) @printf(ptr noundef @.str.2, i32 noundef 30, i32 noundef 20, i32 noundef 10, i32 noundef %7)"
mem2reg,reassociate,false,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\mem2reg__then__reassociate.ll,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\reassociate__then__mem2reg.ll,"in function main:
  in block %2 / %2:
    >   %3 = add nsw i32 10, 1
    >   %4 = add nsw i32 10, 1
    >   %5 = call i32 @ack(i32 noundef 3, i32 noundef %4)
    >   %6 = call i32 (ptr, ...) @printf(ptr noundef @.str, i32 noundef %3, i32 noundef %5)
    <   %3 = call i32 @ack(i32 noundef 3, i32 noundef 11)
    <   %4 = call i32 (ptr, ...) @printf(ptr noundef @.str, i32 noundef 11, i32 noundef %3)
        %5 = sitofp i32 10 to double
        %6 = fadd double %5, 2.800000e+01
        %7 = sitofp i32 10 to double
        %8 = fadd double %7, 2.800000e+01
        %9 = call double @fibFP(double noundef %8)
        %10 = call i32 (ptr, ...) @printf(ptr noundef @.str.1, double noundef %6, double noundef %9)
    >   %13 = mul nsw i32 10, 3
    >   %14 = mul nsw i32 10, 2
    >   %15 = mul nsw i32 10, 3
    >   %16 = mul nsw i32 10, 2
    >   %17 = call i32 @tak(i32 noundef %15, i32 noundef %16, i32 noundef 10)
    >   %18 = call i32 (ptr, ...) @printf(ptr noundef @.str.2, i32 noundef %13, i32 noundef %14, i32 noundef 10, i32 noundef %17)
    <   %11 = call i32 @tak(i32 noundef 30, i32 noundef 20, i32 noundef 10)
    <   %12 = call i32 (ptr, ...) @printf(ptr noundef @.str.2, i32 noundef 30, i32 noundef 20, i32 noundef 10, i32 noundef %11)"
instcombine,simplifycfg,false,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\simplifycfg__then__instcombine.ll,"in function fib:
  in block %4 / %5:
    in instruction   br label %11 /   br label %12:
      successor %11 cannot be equivalent to %12; it's already equivalent to %4
  in block %11 / %4:
    >   br label %12
    <   %storemerge = phi i32 [ %10, %4 ], [ 1, %1 ]
    <   ret i32 %storemerge

in function fibFP:
  in block %4 / %5:
    in instruction   br label %11 /   br label %12:
      successor %11 cannot be equivalent to %12; it's already equivalent to %4
  in block %11 / %4:
    >   br label %12
    <   %storemerge = phi double [ %10, %4 ], [ 1.000000e+00, %1 ]
    <   ret double %storemerge"
instcombine,sroa,false,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\instcombine__then__sroa.ll,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\sroa__then__instcombine.ll,"in function ack:
  in block %15 / %15:
    >   %.0 = phi i32 [ %5, %4 ], [ %14, %12 ]
    >   ret i32 %.0
    <   %storemerge = phi i32 [ %14, %12 ], [ %5, %4 ]
    <   ret i32 %storemerge

in function fib:
  in block %10 / %10:
    >   %.0 = phi i32 [ 1, %3 ], [ %9, %4 ]
    >   ret i32 %.0
    <   %storemerge = phi i32 [ %9, %4 ], [ 1, %3 ]
    <   ret i32 %storemerge

in function fibFP:
  in block %10 / %10:
    >   %.0 = phi double [ 1.000000e+00, %3 ], [ %9, %4 ]
    >   ret double %.0
    <   %storemerge = phi double [ %9, %4 ], [ 1.000000e+00, %3 ]
    <   ret double %storemerge

in function tak:
  in block %14 / %14:
    >   %.0 = phi i32 [ %12, %5 ], [ %2, %13 ]
    >   ret i32 %.0
    <   %storemerge = phi i32 [ %2, %13 ], [ %12, %5 ]
    <   ret i32 %storemerge

in function takFP:
  in block %14 / %14:
    >   %.0 = phi double [ %12, %5 ], [ %2, %13 ]
    >   ret double %.0
    <   %storemerge = phi double [ %2, %13 ], [ %12, %5 ]
    <   ret double %storemerge"
instcombine,early-cse,false,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\instcombine__then__early-cse.ll,results\paper_full\BenchmarkGame_recursive\round_000\analysis\BenchmarkGame_recursive\commutativity\early-cse__then__instcombine.ll,"in function ack:
  in block %2 / %2:
    <   %3 = alloca i32, align 4
    <   %4 = alloca i32, align 4
    <   store i32 %0, ptr %3, align 4
    <   store i32 %1, ptr %4, align 4

in function fib:
  in block %5 / %5:
    in instruction %7 / %10:
      arguments %6 and %9 differ
    >   %7 = call i32 @fib(i32 noundef %6)
    >   %8 = load i32, ptr %2, align 4
    >   %9 = add nsw i32 %8, -1
        %7 = call i32 @fib(i32 noundef %6)
    >   %11 = add nsw i32 %7, %10
    <   %8 = add nsw i32 %0, -1
    <   %9 = call i32 @fib(i32 noundef %8)
    <   %10 = add nsw i32 %7, %9
  in block %11 / %12:
    >   %storemerge = phi i32 [ %11, %5 ], [ 1, %4 ]
    <   %storemerge = phi i32 [ %10, %5 ], [ 1, %4 ]

in function fibFP:
  in block %5 / %5:
    in instruction %7 / %10:
      arguments %6 and %9 differ
    >   %7 = call double @fibFP(double noundef %6)
    >   %8 = load double, ptr %2, align 8
    >   %9 = fadd double %8, -1.000000e+00
        %7 = call double @fibFP(double noundef %6)
    >   %11 = fadd double %7, %10
    <   %8 = fadd double %0, -1.000000e+00
    <   %9 = call double @fibFP(double noundef %8)
    <   %10 = fadd double %7, %9
  in block %11 / %12:
    >   %storemerge = phi double [ %11, %5 ], [ 1.000000e+00, %4 ]
    <   %storemerge = phi double [ %10, %5 ], [ 1.000000e+00, %4 ]

in function tak:
  in block %8 / %8:
    in instruction %18 / %15:
      arguments %16 and %13 differ
    in instruction %19 / %18:
      arguments %18 and %17 differ
    >   %9 = add nsw i32 %0, -1
    >   %10 = call i32 @tak(i32 noundef %9, i32 noundef %1, i32 noundef %2)
    <   %9 = load i32, ptr %4, align 4
    <   %10 = add nsw i32 %9, -1
        %11 = load i32, ptr %5, align 4
    <   %12 = call i32 @tak(i32 noundef %10, i32 noundef %11, i32 noundef %2)
        %13 = add nsw i32 %11, -1
    >   %13 = load i32, ptr %6, align 4
    <   %14 = call i32 @tak(i32 noundef %13, i32 noundef %2, i32 noundef %9)
    <   %15 = add nsw i32 %2, -1
        %16 = load i32, ptr %4, align 4
    <   %17 = load i32, ptr %5, align 4
        %18 = call i32 @tak(i32 noundef %15, i32 noundef %16, i32 noundef %17)
    >   %16 = add nsw i32 %13, -1
    >   %17 = call i32 @tak(i32 noundef %16, i32 noundef %14, i32 noundef %11)

in function takFP:
  in block %8 / %8:
    in instruction %18 / %15:
      arguments %16 and %13 differ
    in instruction %19 / %18:
      arguments %18 and %17 differ
    >   %9 = fadd double %0, -1.000000e+00
    >   %10 = call double @takFP(double noundef %9, double noundef %1, double noundef %2)
    <   %9 = load double, ptr %4, align 8
    <   %10 = fadd double %9, -1.000000e+00
        %11 = load double, ptr %5, align 8
    <   %12 = call double @takFP(double noundef %10, double noundef %11, double noundef %2)
        %13 = fadd double %11, -1.000000e+00
    >   %13 = load double, ptr %6, align 8
    <   %14 = call double @takFP(double noundef %13, double noundef %2, double noundef %9)
    <   %15 = fadd double %2, -1.000000e+00
        %16 = load double, ptr %4, align 8
    <   %17 = load double, ptr %5, align 8
        %18 = call double @takFP(double noundef %15, double noundef %16, double noundef %17)
    >   %16 = fadd double %13, -1.000000e+00
    >   %17 = call double @takFP(double noundef %16, double noundef %14, double noundef %11)"
