round,benchmark,pass,scheduler_class,blocking_reasons,incident_pairs,safe_edge_count,total_edge_count,safe_edge_ratio
0,Misc_flops,early-cse,decision_required,needs_attribution;order_sensitive,"early-cse,gvn:order_sensitive;early-cse,indvars:needs_attribution;early-cse,instcombine:order_sensitive;early-cse,licm:order_sensitive;early-cse,loop-rotate:order_sensitive;early-cse,loop-simplify:needs_attribution;early-cse,loop-unroll:needs_attribution;early-cse,mem2reg:order_sensitive;early-cse,reassociate:order_sensitive;early-cse,sccp:needs_attribution;early-cse,simplifycfg:needs_attribution;early-cse,sroa:order_sensitive",0,12,0.0
0,Misc_flops,gvn,decision_required,needs_attribution;order_sensitive,"early-cse,gvn:order_sensitive;gvn,indvars:order_sensitive;gvn,instcombine:order_sensitive;gvn,licm:order_sensitive;gvn,loop-rotate:order_sensitive;gvn,loop-simplify:order_sensitive;gvn,loop-unroll:order_sensitive;gvn,mem2reg:order_sensitive;gvn,reassociate:order_sensitive;gvn,sccp:needs_attribution;gvn,simplifycfg:order_sensitive;gvn,sroa:order_sensitive",0,12,0.0
0,Misc_flops,indvars,decision_required,needs_attribution;order_sensitive,"early-cse,indvars:needs_attribution;gvn,indvars:order_sensitive;indvars,instcombine:needs_attribution;indvars,licm:order_sensitive;indvars,loop-rotate:likely_independent;indvars,loop-simplify:likely_independent;indvars,loop-unroll:likely_independent;indvars,mem2reg:order_sensitive;indvars,reassociate:confirmed_independent;indvars,sccp:confirmed_independent;indvars,simplifycfg:needs_attribution;indvars,sroa:order_sensitive",5,12,0.4167
0,Misc_flops,instcombine,decision_required,needs_attribution;order_sensitive,"early-cse,instcombine:order_sensitive;gvn,instcombine:order_sensitive;indvars,instcombine:needs_attribution;instcombine,licm:order_sensitive;instcombine,loop-rotate:order_sensitive;instcombine,loop-simplify:needs_attribution;instcombine,loop-unroll:needs_attribution;instcombine,mem2reg:order_sensitive;instcombine,reassociate:order_sensitive;instcombine,sccp:likely_independent;instcombine,simplifycfg:order_sensitive;instcombine,sroa:order_sensitive",1,12,0.0833
0,Misc_flops,licm,decision_required,order_sensitive,"early-cse,licm:order_sensitive;gvn,licm:order_sensitive;indvars,licm:order_sensitive;instcombine,licm:order_sensitive;licm,loop-rotate:order_sensitive;licm,loop-simplify:likely_independent;licm,loop-unroll:likely_independent;licm,mem2reg:order_sensitive;licm,reassociate:order_sensitive;licm,sccp:confirmed_independent;licm,simplifycfg:order_sensitive;licm,sroa:order_sensitive",3,12,0.25
0,Misc_flops,loop-rotate,decision_required,needs_attribution;order_sensitive,"early-cse,loop-rotate:order_sensitive;gvn,loop-rotate:order_sensitive;indvars,loop-rotate:likely_independent;instcombine,loop-rotate:order_sensitive;licm,loop-rotate:order_sensitive;loop-rotate,loop-simplify:likely_independent;loop-rotate,loop-unroll:likely_independent;loop-rotate,mem2reg:order_sensitive;loop-rotate,reassociate:needs_attribution;loop-rotate,sccp:confirmed_independent;loop-rotate,simplifycfg:order_sensitive;loop-rotate,sroa:order_sensitive",4,12,0.3333
0,Misc_flops,loop-simplify,decision_required,needs_attribution;order_sensitive,"early-cse,loop-simplify:needs_attribution;gvn,loop-simplify:order_sensitive;indvars,loop-simplify:likely_independent;instcombine,loop-simplify:needs_attribution;licm,loop-simplify:likely_independent;loop-rotate,loop-simplify:likely_independent;loop-simplify,loop-unroll:likely_independent;loop-simplify,mem2reg:needs_attribution;loop-simplify,reassociate:confirmed_independent;loop-simplify,sccp:confirmed_independent;loop-simplify,simplifycfg:needs_attribution;loop-simplify,sroa:needs_attribution",6,12,0.5
0,Misc_flops,loop-unroll,decision_required,needs_attribution;order_sensitive,"early-cse,loop-unroll:needs_attribution;gvn,loop-unroll:order_sensitive;indvars,loop-unroll:likely_independent;instcombine,loop-unroll:needs_attribution;licm,loop-unroll:likely_independent;loop-rotate,loop-unroll:likely_independent;loop-simplify,loop-unroll:likely_independent;loop-unroll,mem2reg:order_sensitive;loop-unroll,reassociate:confirmed_independent;loop-unroll,sccp:confirmed_independent;loop-unroll,simplifycfg:needs_attribution;loop-unroll,sroa:order_sensitive",6,12,0.5
0,Misc_flops,mem2reg,decision_required,needs_attribution;order_sensitive,"early-cse,mem2reg:order_sensitive;gvn,mem2reg:order_sensitive;indvars,mem2reg:order_sensitive;instcombine,mem2reg:order_sensitive;licm,mem2reg:order_sensitive;loop-rotate,mem2reg:order_sensitive;loop-simplify,mem2reg:needs_attribution;loop-unroll,mem2reg:order_sensitive;mem2reg,reassociate:order_sensitive;mem2reg,sccp:order_sensitive;mem2reg,simplifycfg:order_sensitive;mem2reg,sroa:order_sensitive",0,12,0.0
0,Misc_flops,reassociate,decision_required,needs_attribution;order_sensitive,"early-cse,reassociate:order_sensitive;gvn,reassociate:order_sensitive;indvars,reassociate:confirmed_independent;instcombine,reassociate:order_sensitive;licm,reassociate:order_sensitive;loop-rotate,reassociate:needs_attribution;loop-simplify,reassociate:confirmed_independent;loop-unroll,reassociate:confirmed_independent;mem2reg,reassociate:order_sensitive;reassociate,sccp:confirmed_independent;reassociate,simplifycfg:needs_attribution;reassociate,sroa:order_sensitive",4,12,0.3333
