pass_a,pass_b,commute,ab_path,ba_path,details
mem2reg,instcombine,false,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\mem2reg__then__instcombine.ll,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\instcombine__then__mem2reg.ll,"in function generate_test_data:
  in block %3 / %3:
    >   %.0 = phi ptr [ %2, %1 ], [ %10, %11 ]
    >   %storemerge = phi i32 [ 0, %1 ], [ %12, %11 ]
    >   %4 = sext i32 %storemerge to i64
    >   %5 = icmp ugt i64 %0, %4
    >   br i1 %5, label %6, label %13
    <   %.01 = phi ptr [ %2, %1 ], [ %11, %10 ]
    <   %.0 = phi i32 [ 0, %1 ], [ %12, %10 ]
    <   %4 = zext nneg i32 %.0 to i64
    <   %5 = icmp ugt i64 %0, %4
    <   br i1 %5, label %6, label %13

in function compdecomp:
  in block %13 / %13:
    >   %.046 = phi ptr [ %0, %2 ], [ %21, %22 ]
    >   %storemerge = phi i64 [ 0, %2 ], [ %23, %22 ]
    <   %.033 = phi ptr [ %0, %2 ], [ %22, %21 ]
    <   %.02 = phi i64 [ 0, %2 ], [ %23, %21 ]
  in block %15 / %15:
    >   %21 = getelementptr inbounds nuw i8, ptr %.046, i64 1
  in block %21 / %22:
    <   %22 = getelementptr inbounds nuw i8, ptr %.033, i64 1
  in block %25 / %25:
    >   %.025 = phi i64 [ 0, %24 ], [ %.126, %34 ]
    <   %.010 = phi i64 [ 0, %24 ], [ %.111, %34 ]
  in block %33 / %33:
    >   %.126 = phi i64 [ %.025, %27 ], [ %32, %30 ]
    <   %.111 = phi i64 [ %32, %30 ], [ %.010, %27 ]
  in block %44 / %44:
    >   %.227 = phi i64 [ %.025, %43 ], [ %47, %46 ]
    <   %.212 = phi i64 [ %.010, %43 ], [ %47, %46 ]
  in block %46 / %46:
    >   %58 = getelementptr [8 x i8], ptr %3, i64 %47
    >   %59 = getelementptr i8, ptr %58, i64 2048
    >   store i64 %57, ptr %59, align 8
    >   %60 = trunc i64 %47 to i32
    >   %61 = add i32 %60, 256
    <   %58 = getelementptr [8 x i8], ptr %3, i64 %.212
    <   %59 = getelementptr i8, ptr %58, i64 2040
    <   store i64 %57, ptr %59, align 8
    <   %60 = trunc i64 %.212 to i32
    <   %61 = add i32 %60, 255
        %62 = getelementptr inbounds nuw [4 x i8], ptr %5, i64 %48
    >   store i32 %61, ptr %62, align 4
    >   %63 = trunc i64 %47 to i32
    >   %64 = sub i32 -256, %63
    <   store i32 %61, ptr %62, align 4
    <   %63 = trunc i64 %.212 to i32
    <   %64 = sub i32 -255, %63
        %65 = load i64, ptr %4, align 16
        %66 = getelementptr inbounds nuw [4 x i8], ptr %5, i64 %65
    >   store i32 %64, ptr %66, align 4
    >   %67 = add i64 %47, 256
    >   store i64 %67, ptr %4, align 16
    <   store i32 %64, ptr %66, align 4
    <   %67 = add i64 %.212, 255
    <   store i64 %67, ptr %4, align 16
  in block %72 / %72:
    >   %.055 = phi i64 [ 0, %69 ], [ %.156, %107 ]
    >   %.052 = phi i64 [ 0, %69 ], [ %.153, %107 ]
    >   %storemerge3 = phi i64 [ 0, %69 ], [ %108, %107 ]
    >   %73 = icmp ult i64 %storemerge3, 256
    >   br i1 %73, label %74, label %109
    <   %.045 = phi i64 [ 0, %69 ], [ %.146, %103 ]
    <   %.042 = phi i64 [ 0, %69 ], [ %104, %103 ]
    <   %.039 = phi i64 [ 0, %69 ], [ %.140, %103 ]
    <   %73 = icmp samesign ult i64 %.042, 256
    <   br i1 %73, label %74, label %105

in function heap_adjust:
  in block %4 / %4:
    >   %9 = trunc i64 %8 to i32

in function main:
  in block %16 / %16:
    >   %.0 = phi i8 [ %.1, %15 ], [ 0, %2 ]
    <   %.0 = phi i1 [ %6, %15 ], [ true, %2 ]
  in block %5 / %5:
    >   %storemerge = phi i32 [ 1, %4 ], [ %14, %13 ]
    >   %6 = icmp slt i32 %storemerge, %0
    >   br i1 %6, label %7, label %15
    <   %.01 = phi i32 [ 1, %4 ], [ %14, %13 ]
    <   %6 = icmp sge i32 %.01, %0
    <   br i1 %6, label %15, label %7"
mem2reg,simplifycfg,false,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\mem2reg__then__simplifycfg.ll,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\simplifycfg__then__mem2reg.ll,"in function compdecomp:
  in block %29 / %29:
    >   br label %30
    <   %.010 = phi i64 [ %.111, %38 ], [ 0, %19 ]
    <   %.13 = phi i64 [ %39, %38 ], [ 0, %19 ]
    <   %30 = icmp ult i64 %.13, 256
    <   br i1 %30, label %31, label %40

in function heap_adjust:
  in block %10 / %10:
    >   %.01 = phi i32 [ %3, %4 ], [ %.0, %42 ]
    <   %.01 = phi i32 [ %3, %4 ], [ %.0, %41 ]
  in block %41 / %42:
    >   %43 = sub nsw i32 %.0, 1
    <   %42 = sub nsw i32 %.0, 1
  in block %16 / %16:
    >   br i1 %28, label %29, label %31
    <   %29 = add nsw i32 %14, 1
    <   %spec.select = select i1 %28, i32 %29, i32 %14
    <   br label %30
  in block %30 / %31:
    >   %.0 = phi i32 [ %30, %29 ], [ %14, %16 ], [ %14, %13 ]
    <   %.0 = phi i32 [ %14, %13 ], [ %spec.select, %16 ]
        %31 = sext i32 %9 to i64
        %32 = getelementptr inbounds i64, ptr %0, i64 %31
        %33 = load i64, ptr %32, align 8
    >   %35 = sub nsw i32 %.0, 1
    >   %36 = sext i32 %35 to i64
    >   %37 = getelementptr inbounds i64, ptr %1, i64 %36
    >   %38 = load i64, ptr %37, align 8
    >   %39 = getelementptr inbounds nuw i64, ptr %0, i64 %38
    >   %40 = load i64, ptr %39, align 8
    >   %41 = icmp ult i64 %34, %40
    >   br i1 %41, label %50, label %42
    <   %34 = sub nsw i32 %.0, 1
    <   %35 = sext i32 %34 to i64
    <   %36 = getelementptr inbounds i64, ptr %1, i64 %35
    <   %37 = load i64, ptr %36, align 8
    <   %38 = getelementptr inbounds nuw i64, ptr %0, i64 %37
    <   %39 = load i64, ptr %38, align 8
    <   %40 = icmp ult i64 %33, %39
    <   br i1 %40, label %49, label %41

in function main:
  in block %13 / %15:
    >   %.0 = phi i8 [ 1, %12 ], [ 0, %5 ], [ 0, %2 ]
    <   %.0 = phi i8 [ 0, %2 ], [ 0, %4 ], [ 1, %6 ]
  in block %4 / %4:
    >   br label %5
    <   %.01 = phi i32 [ %12, %11 ], [ 1, %2 ]
    <   %5 = icmp slt i32 %.01, %0
    <   br i1 %5, label %6, label %13"
mem2reg,dce,false,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\mem2reg__then__dce.ll,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\dce__then__mem2reg.ll,"in function compdecomp:
  in block %194 / %194:
    >   %200 = add i64 %.028, 1"
mem2reg,sroa,false,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\mem2reg__then__sroa.ll,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\sroa__then__mem2reg.ll,"in function compdecomp:
  in block %91 / %91:
    >   %.0162 = phi i64 [ 0, %88 ], [ %129, %128 ]
    >   %.0157 = phi i64 [ 0, %88 ], [ %.1158, %128 ]
    >   %.0154 = phi i64 [ 0, %88 ], [ %.1155, %128 ]
    >   %92 = icmp ult i64 %.0162, 256
    >   br i1 %92, label %93, label %130
    <   %.045 = phi i64 [ 0, %88 ], [ %.146, %128 ]
    <   %.042 = phi i64 [ 0, %88 ], [ %129, %128 ]
    <   %.039 = phi i64 [ 0, %88 ], [ %.140, %128 ]
    <   %92 = icmp ult i64 %.042, 256
    <   br i1 %92, label %93, label %130"
mem2reg,early-cse,false,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\mem2reg__then__early-cse.ll,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\early-cse__then__mem2reg.ll,"in function compdecomp:
  in block %2 / %2:
    in instruction call to @llvm.memset.p0.i64 / call to @llvm.memset.p0.i64:
      arguments %10 and %12 differ
    >   %12 = add i64 %1, 1

in function random4:
  in block %0 / %0:
    >   store i32 %2, ptr @seed, align 4
        %3 = sdiv i32 %2, 127773
    >   %4 = load i32, ptr @seed, align 4
        %4 = mul nsw i32 %3, 127773
    >   %6 = sub nsw i32 %4, %5
    >   %7 = mul nsw i32 16807, %6
    <   %5 = sub nsw i32 %2, %4
    <   %6 = mul nsw i32 16807, %5
        %7 = mul nsw i32 2836, %3
    >   %9 = sub nsw i32 %7, %8
    >   store i32 %9, ptr @seed, align 4
    >   %10 = icmp slt i32 %9, 0
    >   br i1 %10, label %11, label %13
    <   %8 = sub nsw i32 %6, %7
    <   store i32 %8, ptr @seed, align 4
    <   %9 = icmp slt i32 %8, 0
    <   br i1 %9, label %10, label %12"
mem2reg,gvn,false,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\mem2reg__then__gvn.ll,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\gvn__then__mem2reg.ll,"in function generate_test_data:
  in block %3 / %3:
    >   %4 = phi ptr [ %12, %8 ], [ %2, %1 ]
    >   %5 = phi i32 [ %13, %8 ], [ 0, %1 ]
    >   %6 = sext i32 %5 to i64
    >   %7 = icmp ult i64 %6, %0
    >   br i1 %7, label %8, label %14
    <   %.01 = phi ptr [ %2, %1 ], [ %10, %6 ]
    <   %.0 = phi i32 [ 0, %1 ], [ %11, %6 ]
    <   %4 = sext i32 %.0 to i64
    <   %5 = icmp ult i64 %4, %0
    <   br i1 %5, label %6, label %12

in function compdecomp:
  in block %12 / %12:
    >   %13 = phi ptr [ %22, %16 ], [ %0, %2 ]
    >   %14 = phi i64 [ %23, %16 ], [ 0, %2 ]
    >   %15 = icmp ult i64 %14, %1
    >   br i1 %15, label %16, label %24
    <   %.033 = phi ptr [ %0, %2 ], [ %20, %14 ]
    <   %.02 = phi i64 [ 0, %2 ], [ %21, %14 ]
    <   %13 = icmp ult i64 %.02, %1
    <   br i1 %13, label %14, label %22

in function heap_adjust:
  in block %10 / %10:
    >   %11 = phi i32 [ %33, %45 ], [ %3, %4 ]
    <   %.01 = phi i32 [ %3, %4 ], [ %.0, %43 ]
        %11 = sdiv i32 %2, 2
    >   %13 = icmp sle i32 %11, %12
    >   br i1 %13, label %14, label %._crit_edge
    <   %12 = icmp sle i32 %.01, %11
    <   br i1 %12, label %13, label %._crit_edge

in function main:
  in block %5 / %5:
    >   %6 = phi i32 [ %15, %14 ], [ 1, %4 ]
    >   %7 = icmp slt i32 %6, %0
    >   br i1 %7, label %8, label %16
    <   %.01 = phi i32 [ 1, %4 ], [ %14, %13 ]
    <   %6 = icmp slt i32 %.01, %0
    <   br i1 %6, label %7, label %15
  in block %18 / %21:
    >   %22 = phi i32 [ %25, %24 ], [ 0, %18 ]
    >   %23 = icmp slt i32 %22, 30
    >   br i1 %23, label %24, label %26
    <   %.12 = phi i32 [ 0, %16 ], [ %21, %20 ]
    <   %19 = icmp slt i32 %.12, 30
    <   br i1 %19, label %20, label %22"
mem2reg,sccp,false,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\mem2reg__then__sccp.ll,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\sccp__then__mem2reg.ll,"in function compdecomp:
  in block %103 / %103:
    >   %.043 = phi i64 [ 0, %100 ], [ %.144, %110 ]
    >   %.037 = phi i32 [ %102, %100 ], [ %113, %110 ]
    >   %.05 = phi i64 [ 1, %100 ], [ %114, %110 ]
    >   %.3 = phi i64 [ 0, %100 ], [ %115, %110 ]
    <   %.043 = phi i64 [ 0, %100 ], [ %.144, %110 ]
    <   %.037 = phi i32 [ %102, %100 ], [ %113, %110 ]
    <   %.05 = phi i64 [ 1, %100 ], [ %114, %110 ]
    <   %.3 = phi i64 [ 0, %100 ], [ %115, %110 ]
  in block %110 / %110:
    >   %111 = sext i32 %.138 to i64
    >   %112 = getelementptr inbounds [512 x i32], ptr %5, i64 0, i64 %111
    >   %113 = load i32, ptr %112, align 4
    <   %111 = zext nneg i32 %.138 to i64
    <   %112 = getelementptr inbounds [512 x i32], ptr %5, i64 0, i64 %111
    <   %113 = load i32, ptr %112, align 4"
mem2reg,adce,false,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\mem2reg__then__adce.ll,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\adce__then__mem2reg.ll,"in function compdecomp:
  in block %194 / %194:
    >   %200 = add i64 %.028, 1"
mem2reg,loop-simplify,true,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\mem2reg__then__loop-simplify.ll,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\loop-simplify__then__mem2reg.ll,
mem2reg,loop-rotate,false,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\mem2reg__then__loop-rotate.ll,results\paper_full\CoyoteBench_huffbench\round_000\analysis\CoyoteBench_huffbench\commutativity\loop-rotate__then__mem2reg.ll,"in function generate_test_data:
  in block %1 / %1:
    >   %3 = sext i32 0 to i64
    >   %4 = icmp ult i64 %3, %0
    >   br i1 %4, label %.lr.ph, label %14
    <   %3 = icmp ult i64 0, %0
    <   br i1 %3, label %.lr.ph, label %13

in function compdecomp:
  in block %30 / %30:
    >   %31 = icmp ult i64 0, 256
    >   br i1 %31, label %.lr.ph2, label %43
    <   br label %31
  in block %20 / %20:
    >   %.082 = phi ptr [ %0, %.lr.ph ], [ %26, %27 ]
    >   %.041 = phi i64 [ 0, %.lr.ph ], [ %28, %27 ]
    >   %21 = load i8, ptr %.082, align 1
    >   %22 = zext i8 %21 to i64
    >   %23 = getelementptr inbounds nuw [512 x i64], ptr %3, i64 0, i64 %22
    >   %24 = load i64, ptr %23, align 8
    >   %25 = add i64 %24, 1
    >   store i64 %25, ptr %23, align 8
    >   %26 = getelementptr inbounds nuw i8, ptr %.082, i32 1
    <   %.0255 = phi i64 [ 0, %.lr.ph ], [ %28, %27 ]
    <   %.03354 = phi ptr [ %0, %.lr.ph ], [ %26, %27 ]
    <   %21 = load i8, ptr %.03354, align 1
    <   %22 = zext i8 %21 to i64
    <   %23 = getelementptr inbounds nuw [512 x i64], ptr %3, i64 0, i64 %22
    <   %24 = load i64, ptr %23, align 8
    <   %25 = add i64 %24, 1
    <   store i64 %25, ptr %23, align 8
    <   %26 = getelementptr inbounds nuw i8, ptr %.03354, i32 1

in function heap_adjust:
  in block %.loopexit:
    >   %.2 = phi i32 [ %.0, %..loopexit_crit_edge ], [ %3, %4 ]
    <   %.01.lcssa = phi i32 [ %split, %..loopexit_crit_edge ], [ %3, %4 ]
  in block %51 / %52:
    >   %.1 = phi i32 [ %.01, %41 ], [ %.2, %.loopexit ]
    <   %.013 = phi i32 [ %.01.lcssa, %.loopexit ], [ %.01.lcssa2, %41 ]
        %52 = sext i32 %9 to i64
    >   %54 = sub nsw i32 %.1, 1
    >   %55 = sext i32 %54 to i64
    >   %56 = getelementptr inbounds i64, ptr %1, i64 %55
    >   store i64 %53, ptr %56, align 8
    <   %53 = sub nsw i32 %.013, 1
    <   %54 = sext i32 %53 to i64
    <   %55 = getelementptr inbounds i64, ptr %1, i64 %54
    <   store i64 %52, ptr %55, align 8
  in block %42 / %42:
    >   %50 = sdiv i32 %2, 2
    >   %51 = icmp sle i32 %.0, %50
    >   br i1 %51, label %12, label %..loopexit_crit_edge, !llvm.loop !7
    <   %50 = icmp sle i32 %.0, %10
    <   br i1 %50, label %12, label %..loopexit_crit_edge, !llvm.loop !7
  in block %..loopexit_crit_edge:
    <   %split = phi i32 [ %.0, %42 ]
  in block %41 / %41:
    <   %.01.lcssa2 = phi i32 [ %.014, %30 ]

in function main:
  in block %4 / %4:
    >   %5 = icmp slt i32 1, %0
    >   br i1 %5, label %.lr.ph, label %.loopexit
    <   br label %5
  in block %16 / %17:
    >   %.0 = phi i8 [ %.1, %16 ], [ 0, %2 ]
    <   %.0 = phi i8 [ %.1, %15 ], [ 0, %2 ]
        %17 = call ptr @generate_test_data(i64 noundef 10000000)
    >   %19 = icmp slt i32 0, 30
    >   br i1 %19, label %.lr.ph1, label %24
    <   br label %18"
