pass_a,pass_b,commute,ab_path,ba_path,details
instcombine,simplifycfg,true,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\instcombine__then__simplifycfg.ll,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\simplifycfg__then__instcombine.ll,
instcombine,early-cse,true,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\instcombine__then__early-cse.ll,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\early-cse__then__instcombine.ll,
instcombine,gvn,true,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\instcombine__then__gvn.ll,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\gvn__then__instcombine.ll,
instcombine,sccp,true,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\instcombine__then__sccp.ll,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\sccp__then__instcombine.ll,
instcombine,loop-simplify,true,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\instcombine__then__loop-simplify.ll,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\loop-simplify__then__instcombine.ll,
instcombine,loop-rotate,false,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\instcombine__then__loop-rotate.ll,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\loop-rotate__then__instcombine.ll,"in function main:
  in block %9 / %9:
    >   %11 = icmp sgt i32 %10, 0
    >   br i1 %11, label %.lr.ph23, label %48
    <   %11 = icmp slt i32 0, %10
    <   br i1 %11, label %.lr.ph23, label %53"
instcombine,licm,false,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\instcombine__then__licm.ll,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\licm__then__instcombine.ll,"in function main:
  in block %11 / %11:
    >   %12 = phi i32 [ %18, %51 ], [ 0, %9 ]
    >   %13 = phi i32 [ %52, %51 ], [ 0, %9 ]
    <   %12 = phi i32 [ %.lcssa4, %51 ], [ 0, %9 ]
    <   %13 = phi i32 [ %52, %51 ], [ 0, %9 ]
  in block %53 / %53:
    <   %.lcssa5 = phi i32 [ %12, %11 ]
  in block %51 / %51:
    <   %.lcssa4 = phi i32 [ %18, %16 ]
  in block %16 / %16:
    >   %17 = phi i32 [ %50, %49 ], [ 0, %15 ]
    >   %18 = phi i32 [ %23, %49 ], [ %12, %15 ]
    <   %17 = phi i32 [ %50, %49 ], [ 0, %15 ]
    <   %18 = phi i32 [ %.lcssa3, %49 ], [ %12, %15 ]
  in block %49 / %49:
    <   %.lcssa3 = phi i32 [ %23, %21 ]
  in block %21 / %21:
    >   %22 = phi i32 [ %48, %47 ], [ 0, %20 ]
    >   %23 = phi i32 [ %28, %47 ], [ %18, %20 ]
    <   %22 = phi i32 [ %48, %47 ], [ 0, %20 ]
    <   %23 = phi i32 [ %.lcssa2, %47 ], [ %18, %20 ]
  in block %47 / %47:
    <   %.lcssa2 = phi i32 [ %28, %26 ]
  in block %26 / %26:
    >   %27 = phi i32 [ %46, %45 ], [ 0, %25 ]
    >   %28 = phi i32 [ %33, %45 ], [ %23, %25 ]
    <   %27 = phi i32 [ %46, %45 ], [ 0, %25 ]
    <   %28 = phi i32 [ %.lcssa1, %45 ], [ %23, %25 ]
  in block %45 / %45:
    <   %.lcssa1 = phi i32 [ %33, %31 ]
  in block %31 / %31:
    >   %32 = phi i32 [ %44, %43 ], [ 0, %30 ]
    >   %33 = phi i32 [ %38, %43 ], [ %28, %30 ]
    <   %32 = phi i32 [ %44, %43 ], [ 0, %30 ]
    <   %33 = phi i32 [ %.lcssa, %43 ], [ %28, %30 ]
  in block %43 / %43:
    <   %.lcssa = phi i32 [ %38, %36 ]"
instcombine,indvars,false,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\instcombine__then__indvars.ll,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\indvars__then__instcombine.ll,"in function main:
  in block %9 / %9:
    <   %11 = mul i32 %10, %10
    <   %12 = mul i32 %11, %11
    <   %13 = mul i32 %10, %12"
instcombine,loop-unroll,false,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\instcombine__then__loop-unroll.ll,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\loop-unroll__then__instcombine.ll,"in function main:
  in block %11 / %11:
    >   %12 = phi i32 [ %18, %51 ], [ 0, %9 ]
    >   %13 = phi i32 [ %52, %51 ], [ 0, %9 ]
    <   %12 = phi i32 [ %.lcssa4, %51 ], [ 0, %9 ]
    <   %13 = phi i32 [ %52, %51 ], [ 0, %9 ]
  in block %53 / %53:
    <   %.lcssa5 = phi i32 [ %12, %11 ]
  in block %51 / %51:
    <   %.lcssa4 = phi i32 [ %18, %16 ]
  in block %16 / %16:
    >   %17 = phi i32 [ %50, %49 ], [ 0, %15 ]
    >   %18 = phi i32 [ %23, %49 ], [ %12, %15 ]
    <   %17 = phi i32 [ %50, %49 ], [ 0, %15 ]
    <   %18 = phi i32 [ %.lcssa3, %49 ], [ %12, %15 ]
  in block %49 / %49:
    <   %.lcssa3 = phi i32 [ %23, %21 ]
  in block %21 / %21:
    >   %22 = phi i32 [ %48, %47 ], [ 0, %20 ]
    >   %23 = phi i32 [ %28, %47 ], [ %18, %20 ]
    <   %22 = phi i32 [ %48, %47 ], [ 0, %20 ]
    <   %23 = phi i32 [ %.lcssa2, %47 ], [ %18, %20 ]
  in block %47 / %47:
    <   %.lcssa2 = phi i32 [ %28, %26 ]
  in block %26 / %26:
    >   %27 = phi i32 [ %46, %45 ], [ 0, %25 ]
    >   %28 = phi i32 [ %33, %45 ], [ %23, %25 ]
    <   %27 = phi i32 [ %46, %45 ], [ 0, %25 ]
    <   %28 = phi i32 [ %.lcssa1, %45 ], [ %23, %25 ]
  in block %45 / %45:
    <   %.lcssa1 = phi i32 [ %33, %31 ]
  in block %31 / %31:
    >   %32 = phi i32 [ %44, %43 ], [ 0, %30 ]
    >   %33 = phi i32 [ %38, %43 ], [ %28, %30 ]
    <   %32 = phi i32 [ %44, %43 ], [ 0, %30 ]
    <   %33 = phi i32 [ %.lcssa, %43 ], [ %28, %30 ]
  in block %43 / %43:
    <   %.lcssa = phi i32 [ %38, %36 ]"
instcombine,reassociate,true,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\instcombine__then__reassociate.ll,results\paper_full\Shootout_nestedloop\round_001\analysis\Shootout_nestedloop\commutativity\reassociate__then__instcombine.ll,
